SYMBOL;SERIES;OPEN;HIGH;LOW;CLOSE;LAST;PREVCLOSE;TOTTRDQTY;TOTTRDVAL;TIMESTAMP;TOTALTRADES;ISIN
HNGSNGBEES;EQ;369.9;390;341.5;356.58;354;356.82;2080;738746.34;06-JAN-2021;144;INF204KB19I1
HONAUT;EQ;37450;38250;37233;37804.3;37630;37332.4;6432;243536077.6;06-JAN-2021;3435;INE671A01010
HONDAPOWER;EQ;1042.2;1068.65;1042.2;1050.05;1051;1037;15001;15848522.9;06-JAN-2021;1384;INE634A01018
HOTELRUGBY;EQ;1.15;1.2;1.15;1.2;1.2;1.15;1200;1384.95;06-JAN-2021;9;INE275F01019
HOVS;BE;45.45;46.3;45;45.85;45.1;44.1;26687;1220496.8;06-JAN-2021;153;INE596H01014
HPL;EQ;44;46.7;43;44.85;44.5;43.3;699624;31559559.95;06-JAN-2021;3573;INE495S01016
HSCL;EQ;46.35;48.5;45.85;47.7;47.55;46.1;15430150;732753348.3;06-JAN-2021;41140;INE019C01026
HSIL;EQ;121.25;123.15;117.5;118.8;118.8;122.15;187767;22560683;06-JAN-2021;2950;INE415A01038
HTMEDIA;EQ;16.4;18.2;15.85;18.2;18.2;16.55;1853822;32709023.9;06-JAN-2021;3884;INE501G01024
HUBTOWN;EQ;20.05;20.05;18.9;20.05;20.05;19.1;261887;5215809.15;06-JAN-2021;459;INE703H01016
HUDCO;EQ;43.15;45.3;42.5;43.35;43.25;42.9;9427009;414366670.05;06-JAN-2021;27382;INE031A01017
HUDCO;N2;1288.14;1292.95;1288.14;1291;1291;1288.15;1999;2581128.75;06-JAN-2021;20;INE031A07840
HUDCO;N3;1121.01;1128.9;1121;1122;1122;1121;146;163891.95;06-JAN-2021;5;INE031A07832
HUDCO;N8;1302.05;1313.99;1302.02;1313.67;1313.99;1305;1110;1454108;06-JAN-2021;38;INE031A07AO5
HUDCO;N9;1248.5;1255;1248.5;1255;1255;1249.99;279;348922.1;06-JAN-2021;8;INE031A07AT4
HUDCO;ND;1300;1300;1286.51;1287.62;1287.51;1300;4308;5558597.09;06-JAN-2021;63;INE031A07949
HUDCO;NE;1425;1440;1423;1436.99;1437;1426.1;3996;5721691.78;06-JAN-2021;40;INE031A07AB2
HUHTAMAKI;EQ;323;325.75;311.3;316.85;315.9;322.35;113647;36158986.75;06-JAN-2021;4700;INE275B01026
HUSYSLTD;SM;89.1;91;89.1;91;91;93;4000;360200;06-JAN-2021;2;INE336T01010
IBMFNIFTY;EQ;142.75;142.75;137.18;138.95;138.95;139.93;968;134399.01;06-JAN-2021;48;INF666M01FS5
IBREALEST;EQ;79;80.85;77.2;78.4;78.1;78.9;5918487;467744785.2;06-JAN-2021;23662;INE069I01010
IBUCCREDIT;N4;1121;1121;1120.15;1120.49;1120.15;1145;50;56024.5;06-JAN-2021;2;INE244L07085
IBUCCREDIT;N6;979.8;979.8;979.8;979.8;979.8;955.2;33;32333.4;06-JAN-2021;3;INE244L07101
IBUCCREDIT;N7;935;948.35;935;948.35;948.35;950;110;104185;06-JAN-2021;2;INE244L07127
IBUCCREDIT;NB;900;900;880;880;880;925;40;35600;06-JAN-2021;3;INE244L07168
IBULHSGFIN;EQ;220;227;215.85;220;219.25;219.3;27782084;6153401498.25;06-JAN-2021;151518;INE148I01020
IBULHSGFIN;N6;982;982;980;980;980;979;22;21580;06-JAN-2021;2;INE148I07GF5
IBULHSGFIN;N8;920;920;920;920;920;930;25;23000;06-JAN-2021;1;INE148I07GJ7
IBULHSGFIN;NA;840;840;838;840;840;840;400;335900;06-JAN-2021;12;INE148I07GL3
ICEMAKE;EQ;105.8;105.8;99;100.15;99.75;102.5;28922;2927395.3;06-JAN-2021;382;INE520Y01019
ICICI500;EQ;198;199.89;189;192.22;192.45;191.68;2863;549880.64;06-JAN-2021;192;INF109KC1CZ3
ICICIALPLV;EQ;149.25;158;137.15;140.65;140.7;140.94;12047;1683891.16;06-JAN-2021;216;INF109KC1N59
ICICIB22;EQ;32.6;32.94;32.31;32.71;32.74;32.6;410211;13453979.68;06-JAN-2021;5704;INF109KB15Y7
ICICIBANK;EQ;538.75;550.6;535.85;546.7;544.9;537.25;28178838;15336313218.1;06-JAN-2021;256515;INE090A01021
ICICIBANKN;EQ;327.7;327.7;314.15;315.92;316;315.33;4944;1565846.52;06-JAN-2021;329;INF109KC1E27
ICICIBANKP;EQ;172.65;173.9;171.45;172.4;172.25;172.01;13446;2317981.8;06-JAN-2021;107;INF109KC1E35
ICICIGI;EQ;1589;1626.45;1575.55;1611.7;1604;1584.25;1321608;2113175053.25;06-JAN-2021;47723;INE765G01017
ICICIGOLD;EQ;45.74;46.49;45.66;46.01;46.09;45.84;140987;6470841.27;06-JAN-2021;1620;INF109KC1NT3
ICICILIQ;EQ;1000;1000;999.99;999.99;1000;999.99;28629;28628951.12;06-JAN-2021;44;INF109KC1KT9
